comparison,model_a,align_a,model_b,align_b,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,u_stat,p_value,cohens_d,rank_biserial,effect_label,pct_post_a,pct_post_b
DeepSeek  IT → RL,DeepSeek-V3.1,Instruction-Tuned,DeepSeek-R1,RLHF / RL-Aligned,5.5000,5.3333,-0.1667,-0.5000,0.1667,189.0000,0.3264,-0.3333,0.1667,small,100.0000,100.0000
Llama  Gen3 → Gen4 (IT),Llama 3.3 70B,Instruction-Tuned,Llama 4 Scout 109B,Instruction-Tuned,5.2222,5.2222,0.0000,-0.3333,0.3333,158.0000,0.8934,0.0000,-0.0247,negligible,100.0000,88.8889
OpenAI  IT → RLHF,GPT-OSS 120B,Instruction-Tuned,GPT-4o,RLHF / RL-Aligned,5.2778,5.2222,-0.0556,-0.3889,0.2778,166.0000,0.8955,-0.0989,0.0247,negligible,100.0000,88.8889
Claude  Haiku → Sonnet (RLHF),Claude 3.5 Haiku,RLHF / RL-Aligned,Claude Sonnet 4.5,RLHF / RL-Aligned,5.5000,5.5556,0.0556,-0.2778,0.3889,153.0000,0.7559,0.1083,-0.0556,negligible,100.0000,100.0000
Qwen3  IT → Think-RL,Qwen3-32B,Instruction-Tuned,Qwen3-235B (Think),RLHF / RL-Aligned,5.0000,6.0000,1.0000,1.0000,1.0000,0.0000,0.0000,,-1.0000,negligible,100.0000,100.0000
